============================================================
Tasks: ['SR-HSE', 'SR-MMP', 'SR-p53']
K_shot=5, Total episodes=3000
============================================================
Task SR-HSE AUROC: 	0.7292 	AUPRC: 	0.2231
Task SR-MMP AUROC: 	0.8177 	AUPRC: 	0.4785
Task SR-p53 AUROC: 	0.7984 	AUPRC: 	0.3254
Task SR-HSE AUROC: 	0.7388 	AUPRC: 	0.1714
Task SR-MMP AUROC: 	0.7977 	AUPRC: 	0.5002
Task SR-p53 AUROC: 	0.7656 	AUPRC: 	0.3
Task SR-HSE AUROC: 	0.7209 	AUPRC: 	0.2129
Task SR-MMP AUROC: 	0.7251 	AUPRC: 	0.3221
Task SR-p53 AUROC: 	0.7709 	AUPRC: 	0.3183
Task SR-HSE AUROC: 	0.7677 	AUPRC: 	0.2897
Task SR-MMP AUROC: 	0.7943 	AUPRC: 	0.4475
Task SR-p53 AUROC: 	0.7608 	AUPRC: 	0.3067
Task SR-HSE AUROC: 	0.7655 	AUPRC: 	0.2192
Task SR-MMP AUROC: 	0.8046 	AUPRC: 	0.4615
Task SR-p53 AUROC: 	0.7783 	AUPRC: 	0.2871
Task SR-HSE AUROC: 	0.694 	AUPRC: 	0.1362
Task SR-MMP AUROC: 	0.8072 	AUPRC: 	0.4622
Task SR-p53 AUROC: 	0.7673 	AUPRC: 	0.2154
Task SR-HSE AUROC: 	0.7357 	AUPRC: 	0.21
Task SR-MMP AUROC: 	0.7896 	AUPRC: 	0.421
Task SR-p53 AUROC: 	0.8152 	AUPRC: 	0.3144
Task SR-HSE AUROC: 	0.6987 	AUPRC: 	0.1094
Task SR-MMP AUROC: 	0.8188 	AUPRC: 	0.4771
Task SR-p53 AUROC: 	0.7919 	AUPRC: 	0.2868
Task SR-HSE AUROC: 	0.7459 	AUPRC: 	0.2046
Task SR-MMP AUROC: 	0.5893 	AUPRC: 	0.283
Task SR-p53 AUROC: 	0.8164 	AUPRC: 	0.3207
Task SR-HSE AUROC: 	0.7482 	AUPRC: 	0.2048
Task SR-MMP AUROC: 	0.7226 	AUPRC: 	0.3528
Task SR-p53 AUROC: 	0.7984 	AUPRC: 	0.3181
Task SR-HSE AUROC: 	0.6748 	AUPRC: 	0.1192
Task SR-MMP AUROC: 	0.75 	AUPRC: 	0.4234
Task SR-p53 AUROC: 	0.7425 	AUPRC: 	0.1908
Task SR-HSE AUROC: 	0.6329 	AUPRC: 	0.1425
Task SR-MMP AUROC: 	0.7873 	AUPRC: 	0.445
Task SR-p53 AUROC: 	0.819 	AUPRC: 	0.3769
Task SR-HSE AUROC: 	0.7364 	AUPRC: 	0.2222
Task SR-MMP AUROC: 	0.7513 	AUPRC: 	0.3816
Task SR-p53 AUROC: 	0.7886 	AUPRC: 	0.2799
Task SR-HSE AUROC: 	0.7698 	AUPRC: 	0.1924
Task SR-MMP AUROC: 	0.809 	AUPRC: 	0.481
Task SR-p53 AUROC: 	0.7485 	AUPRC: 	0.2919
Task SR-HSE AUROC: 	0.7619 	AUPRC: 	0.2399
Task SR-MMP AUROC: 	0.7628 	AUPRC: 	0.3713
Task SR-p53 AUROC: 	0.7826 	AUPRC: 	0.3186
Task SR-HSE AUROC: 	0.7552 	AUPRC: 	0.1807
Task SR-MMP AUROC: 	0.7581 	AUPRC: 	0.3843
Task SR-p53 AUROC: 	0.7853 	AUPRC: 	0.3287
Task SR-HSE AUROC: 	0.6689 	AUPRC: 	0.1114
Task SR-MMP AUROC: 	0.7232 	AUPRC: 	0.3809

============================================================
Tasks: ['SR-HSE', 'SR-MMP', 'SR-p53']
K_shot=5, Total episodes=3000
============================================================
Task SR-HSE AUROC: 	0.7292 	AUPRC: 	0.2231
Task SR-MMP AUROC: 	0.8177 	AUPRC: 	0.4785
Task SR-p53 AUROC: 	0.7984 	AUPRC: 	0.3254
Task SR-HSE AUROC: 	0.7388 	AUPRC: 	0.1714
Task SR-MMP AUROC: 	0.7977 	AUPRC: 	0.5002
Task SR-p53 AUROC: 	0.7656 	AUPRC: 	0.3
Task SR-HSE AUROC: 	0.7209 	AUPRC: 	0.2129
Task SR-MMP AUROC: 	0.7251 	AUPRC: 	0.3221
Task SR-p53 AUROC: 	0.7709 	AUPRC: 	0.3183
Task SR-HSE AUROC: 	0.7677 	AUPRC: 	0.2897
Task SR-MMP AUROC: 	0.7943 	AUPRC: 	0.4475
Task SR-p53 AUROC: 	0.7608 	AUPRC: 	0.3067
Task SR-HSE AUROC: 	0.7655 	AUPRC: 	0.2192
Task SR-MMP AUROC: 	0.8046 	AUPRC: 	0.4615
Task SR-p53 AUROC: 	0.7783 	AUPRC: 	0.2871
Task SR-HSE AUROC: 	0.694 	AUPRC: 	0.1362
Task SR-MMP AUROC: 	0.8072 	AUPRC: 	0.4622
Task SR-p53 AUROC: 	0.7673 	AUPRC: 	0.2154
Task SR-HSE AUROC: 	0.7357 	AUPRC: 	0.21
Task SR-MMP AUROC: 	0.7896 	AUPRC: 	0.421
Task SR-p53 AUROC: 	0.8152 	AUPRC: 	0.3145
Task SR-HSE AUROC: 	0.6987 	AUPRC: 	0.1094
Task SR-MMP AUROC: 	0.8188 	AUPRC: 	0.4771
Task SR-p53 AUROC: 	0.7919 	AUPRC: 	0.2868
Task SR-HSE AUROC: 	0.7459 	AUPRC: 	0.2046
Task SR-MMP AUROC: 	0.5893 	AUPRC: 	0.283
Task SR-p53 AUROC: 	0.8164 	AUPRC: 	0.3207
Task SR-HSE AUROC: 	0.7482 	AUPRC: 	0.2048
Task SR-MMP AUROC: 	0.7226 	AUPRC: 	0.3528
Task SR-p53 AUROC: 	0.7984 	AUPRC: 	0.3181
Task SR-HSE AUROC: 	0.6748 	AUPRC: 	0.1192
Task SR-MMP AUROC: 	0.75 	AUPRC: 	0.4234
Task SR-p53 AUROC: 	0.7425 	AUPRC: 	0.1908
Task SR-HSE AUROC: 	0.6329 	AUPRC: 	0.1425
Task SR-MMP AUROC: 	0.7873 	AUPRC: 	0.445
Task SR-p53 AUROC: 	0.819 	AUPRC: 	0.3769
Task SR-HSE AUROC: 	0.7364 	AUPRC: 	0.2222
Task SR-MMP AUROC: 	0.7513 	AUPRC: 	0.3816
Task SR-p53 AUROC: 	0.7886 	AUPRC: 	0.2799
Task SR-HSE AUROC: 	0.7698 	AUPRC: 	0.1924
Task SR-MMP AUROC: 	0.809 	AUPRC: 	0.481
Task SR-p53 AUROC: 	0.7485 	AUPRC: 	0.2919
Task SR-HSE AUROC: 	0.7619 	AUPRC: 	0.2399
