
=================================================================
Variant : CNN + FP  |  5-shot
Dataset : tox21  |  K_shot=5
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7353 	AUPRC: 	0.2345
Task SR-MMP AUROC: 	0.8132 	AUPRC: 	0.4869
Task SR-p53 AUROC: 	0.7872 	AUPRC: 	0.3058
Task SR-HSE AUROC: 	0.677 	AUPRC: 	0.1647
Task SR-MMP AUROC: 	0.8044 	AUPRC: 	0.4868
Task SR-p53 AUROC: 	0.7637 	AUPRC: 	0.2642
Task SR-HSE AUROC: 	0.7614 	AUPRC: 	0.2719
Task SR-MMP AUROC: 	0.7557 	AUPRC: 	0.38
Task SR-p53 AUROC: 	0.7893 	AUPRC: 	0.2947
Task SR-HSE AUROC: 	0.7498 	AUPRC: 	0.2496
Task SR-MMP AUROC: 	0.8002 	AUPRC: 	0.4601
Task SR-p53 AUROC: 	0.802 	AUPRC: 	0.3468
Task SR-HSE AUROC: 	0.753 	AUPRC: 	0.2332
Task SR-MMP AUROC: 	0.8084 	AUPRC: 	0.4729
Task SR-p53 AUROC: 	0.796 	AUPRC: 	0.2582
Task SR-HSE AUROC: 	0.5235 	AUPRC: 	0.0782
Task SR-MMP AUROC: 	0.8121 	AUPRC: 	0.4859
Task SR-p53 AUROC: 	0.7576 	AUPRC: 	0.2381
Task SR-HSE AUROC: 	0.7489 	AUPRC: 	0.2408
Task SR-MMP AUROC: 	0.7799 	AUPRC: 	0.4235
Task SR-p53 AUROC: 	0.7942 	AUPRC: 	0.2592
Task SR-HSE AUROC: 	0.6948 	AUPRC: 	0.128
Task SR-MMP AUROC: 	0.8178 	AUPRC: 	0.5139
Task SR-p53 AUROC: 	0.799 	AUPRC: 	0.3192
Task SR-HSE AUROC: 	0.7507 	AUPRC: 	0.2408
Task SR-MMP AUROC: 	0.5124 	AUPRC: 	0.2525
Task SR-p53 AUROC: 	0.8149 	AUPRC: 	0.3157
Task SR-HSE AUROC: 	0.7602 	AUPRC: 	0.1907
Task SR-MMP AUROC: 	0.726 	AUPRC: 	0.3815
Task SR-p53 AUROC: 	0.798 	AUPRC: 	0.2835
Task SR-HSE AUROC: 	0.7031 	AUPRC: 	0.1382
Task SR-MMP AUROC: 	0.7788 	AUPRC: 	0.4115
Task SR-p53 AUROC: 	0.7417 	AUPRC: 	0.1756
Task SR-HSE AUROC: 	0.3897 	AUPRC: 	0.0609
Task SR-MMP AUROC: 	0.7875 	AUPRC: 	0.4472
Task SR-p53 AUROC: 	0.8124 	AUPRC: 	0.3478
Task SR-HSE AUROC: 	0.7362 	AUPRC: 	0.224
Task SR-MMP AUROC: 	0.6572 	AUPRC: 	0.2912
Task SR-p53 AUROC: 	0.7993 	AUPRC: 	0.2864
Task SR-HSE AUROC: 	0.7491 	AUPRC: 	0.1962
Task SR-MMP AUROC: 	0.7812 	AUPRC: 	0.4329
Task SR-p53 AUROC: 	0.7136 	AUPRC: 	0.2641
Task SR-HSE AUROC: 	0.75 	AUPRC: 	0.2349
Task SR-MMP AUROC: 	0.7988 	AUPRC: 	0.4161
Task SR-p53 AUROC: 	0.8086 	AUPRC: 	0.3395
Task SR-HSE AUROC: 	0.7208 	AUPRC: 	0.1459
Task SR-MMP AUROC: 	0.8087 	AUPRC: 	0.4579
Task SR-p53 AUROC: 	0.791 	AUPRC: 	0.3343
Task SR-HSE AUROC: 	0.6908 	AUPRC: 	0.1544
Task SR-MMP AUROC: 	0.7489 	AUPRC: 	0.4008
Task SR-p53 AUROC: 	0.709 	AUPRC: 	0.1839
Task SR-HSE AUROC: 	0.7515 	AUPRC: 	0.1622
Task SR-MMP AUROC: 	0.7915 	AUPRC: 	0.4294
Task SR-p53 AUROC: 	0.7575 	AUPRC: 	0.2543
Task SR-HSE AUROC: 	0.7135 	AUPRC: 	0.2351
Task SR-MMP AUROC: 	0.7011 	AUPRC: 	0.3992
Task SR-p53 AUROC: 	0.8127 	AUPRC: 	0.3155
Task SR-HSE AUROC: 	0.5677 	AUPRC: 	0.107
Task SR-MMP AUROC: 	0.7035 	AUPRC: 	0.369
Task SR-p53 AUROC: 	0.8078 	AUPRC: 	0.3436
Task SR-HSE AUROC: 	0.5906 	AUPRC: 	0.1388
Task SR-MMP AUROC: 	0.7608 	AUPRC: 	0.3934
Task SR-p53 AUROC: 	0.8025 	AUPRC: 	0.3435
Task SR-HSE AUROC: 	0.7216 	AUPRC: 	0.1652
Task SR-MMP AUROC: 	0.804 	AUPRC: 	0.468
Task SR-p53 AUROC: 	0.7862 	AUPRC: 	0.2524
Task SR-HSE AUROC: 	0.7604 	AUPRC: 	0.2077
Task SR-MMP AUROC: 	0.6799 	AUPRC: 	0.3679
Task SR-p53 AUROC: 	0.7483 	AUPRC: 	0.3022
Task SR-HSE AUROC: 	0.6509 	AUPRC: 	0.1366
Task SR-MMP AUROC: 	0.8161 	AUPRC: 	0.5159
Task SR-p53 AUROC: 	0.7597 	AUPRC: 	0.2533
Task SR-HSE AUROC: 	0.7576 	AUPRC: 	0.2131
Task SR-MMP AUROC: 	0.7935 	AUPRC: 	0.4596
Task SR-p53 AUROC: 	0.7991 	AUPRC: 	0.3047
Task SR-HSE AUROC: 	0.7252 	AUPRC: 	0.2108
Task SR-MMP AUROC: 	0.8157 	AUPRC: 	0.5006
Task SR-p53 AUROC: 	0.7828 	AUPRC: 	0.283
Task SR-HSE AUROC: 	0.4269 	AUPRC: 	0.0682
Task SR-MMP AUROC: 	0.8237 	AUPRC: 	0.5105
Task SR-p53 AUROC: 	0.7925 	AUPRC: 	0.3274
Task SR-HSE AUROC: 	0.6009 	AUPRC: 	0.1815
Task SR-MMP AUROC: 	0.7682 	AUPRC: 	0.3708
Task SR-p53 AUROC: 	0.6698 	AUPRC: 	0.1752
Task SR-HSE AUROC: 	0.5565 	AUPRC: 	0.111
Task SR-MMP AUROC: 	0.7411 	AUPRC: 	0.3831
Task SR-p53 AUROC: 	0.8205 	AUPRC: 	0.3645
Task SR-HSE AUROC: 	0.7562 	AUPRC: 	0.21
Task SR-MMP AUROC: 	0.783 	AUPRC: 	0.4582
Task SR-p53 AUROC: 	0.79 	AUPRC: 	0.2465

-----------------------------------------------------------------
Task                                            Acc         F1      AUROC      AUPRC  (mean±std)
-----------------------------------------------------------------
SR-HSE                                   0.7679±0.1414  0.2216±0.0497  0.7018±0.0830  0.1827±0.0542
SR-MMP                                   0.7784±0.1029  0.4519±0.0690  0.7564±0.0779  0.4205±0.0694
SR-p53                                   0.8193±0.1032  0.2913±0.0578  0.7531±0.0791  0.2611±0.0682

OVERALL AVERAGE                          0.7885              0.3216              0.7371              0.2881
-----------------------------------------------------------------
