
=================================================================
Variant : CNN-only  |  5-shot
Dataset : tox21  |  K_shot=5
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7629 	AUPRC: 	0.2394
Task SR-MMP AUROC: 	0.8264 	AUPRC: 	0.4978
Task SR-p53 AUROC: 	0.833 	AUPRC: 	0.362
Task SR-HSE AUROC: 	0.767 	AUPRC: 	0.2509
Task SR-MMP AUROC: 	0.8131 	AUPRC: 	0.4812
Task SR-p53 AUROC: 	0.8303 	AUPRC: 	0.3326
Task SR-HSE AUROC: 	0.7468 	AUPRC: 	0.1714
Task SR-MMP AUROC: 	0.7965 	AUPRC: 	0.4278
Task SR-p53 AUROC: 	0.838 	AUPRC: 	0.3682
Task SR-HSE AUROC: 	0.7698 	AUPRC: 	0.2403
Task SR-MMP AUROC: 	0.8275 	AUPRC: 	0.511
Task SR-p53 AUROC: 	0.8357 	AUPRC: 	0.3751
Task SR-HSE AUROC: 	0.774 	AUPRC: 	0.2342
Task SR-MMP AUROC: 	0.816 	AUPRC: 	0.4694
Task SR-p53 AUROC: 	0.7893 	AUPRC: 	0.2513
Task SR-HSE AUROC: 	0.5653 	AUPRC: 	0.0942
Task SR-MMP AUROC: 	0.8205 	AUPRC: 	0.4794
Task SR-p53 AUROC: 	0.834 	AUPRC: 	0.3744
Task SR-HSE AUROC: 	0.7628 	AUPRC: 	0.2381
Task SR-MMP AUROC: 	0.7779 	AUPRC: 	0.3979
Task SR-p53 AUROC: 	0.8299 	AUPRC: 	0.3256
Task SR-HSE AUROC: 	0.7735 	AUPRC: 	0.2213
Task SR-MMP AUROC: 	0.8026 	AUPRC: 	0.4674
Task SR-p53 AUROC: 	0.8304 	AUPRC: 	0.3319
Task SR-HSE AUROC: 	0.7685 	AUPRC: 	0.2412
Task SR-MMP AUROC: 	0.8039 	AUPRC: 	0.4783
Task SR-p53 AUROC: 	0.8401 	AUPRC: 	0.3752
Task SR-HSE AUROC: 	0.7746 	AUPRC: 	0.2574
Task SR-MMP AUROC: 	0.7698 	AUPRC: 	0.4173
Task SR-p53 AUROC: 	0.8295 	AUPRC: 	0.3393
Task SR-HSE AUROC: 	0.7744 	AUPRC: 	0.2206
Task SR-MMP AUROC: 	0.8238 	AUPRC: 	0.5007
Task SR-p53 AUROC: 	0.8325 	AUPRC: 	0.362
Task SR-HSE AUROC: 	0.6326 	AUPRC: 	0.1409
Task SR-MMP AUROC: 	0.7676 	AUPRC: 	0.4282
Task SR-p53 AUROC: 	0.8355 	AUPRC: 	0.3527
Task SR-HSE AUROC: 	0.7759 	AUPRC: 	0.2501
Task SR-MMP AUROC: 	0.7763 	AUPRC: 	0.4135
Task SR-p53 AUROC: 	0.8344 	AUPRC: 	0.3419
Task SR-HSE AUROC: 	0.7541 	AUPRC: 	0.1981
Task SR-MMP AUROC: 	0.8062 	AUPRC: 	0.4722
Task SR-p53 AUROC: 	0.8234 	AUPRC: 	0.359
Task SR-HSE AUROC: 	0.7713 	AUPRC: 	0.246
Task SR-MMP AUROC: 	0.7849 	AUPRC: 	0.3888
Task SR-p53 AUROC: 	0.8349 	AUPRC: 	0.3631
Task SR-HSE AUROC: 	0.7459 	AUPRC: 	0.2016
Task SR-MMP AUROC: 	0.7727 	AUPRC: 	0.3905
Task SR-p53 AUROC: 	0.8411 	AUPRC: 	0.3836
Task SR-HSE AUROC: 	0.7025 	AUPRC: 	0.1179
Task SR-MMP AUROC: 	0.7964 	AUPRC: 	0.4723
Task SR-p53 AUROC: 	0.8116 	AUPRC: 	0.2573
Task SR-HSE AUROC: 	0.7672 	AUPRC: 	0.2273
Task SR-MMP AUROC: 	0.8244 	AUPRC: 	0.492
Task SR-p53 AUROC: 	0.828 	AUPRC: 	0.354
Task SR-HSE AUROC: 	0.7578 	AUPRC: 	0.225
Task SR-MMP AUROC: 	0.7936 	AUPRC: 	0.424
Task SR-p53 AUROC: 	0.8348 	AUPRC: 	0.353
Task SR-HSE AUROC: 	0.5454 	AUPRC: 	0.1054
Task SR-MMP AUROC: 	0.7522 	AUPRC: 	0.3432
Task SR-p53 AUROC: 	0.8386 	AUPRC: 	0.3726
Task SR-HSE AUROC: 	0.6829 	AUPRC: 	0.1803
Task SR-MMP AUROC: 	0.7958 	AUPRC: 	0.4291
Task SR-p53 AUROC: 	0.8393 	AUPRC: 	0.3766
Task SR-HSE AUROC: 	0.7564 	AUPRC: 	0.206
Task SR-MMP AUROC: 	0.8288 	AUPRC: 	0.5042
Task SR-p53 AUROC: 	0.8367 	AUPRC: 	0.3356
Task SR-HSE AUROC: 	0.7655 	AUPRC: 	0.2419
Task SR-MMP AUROC: 	0.6185 	AUPRC: 	0.2941
Task SR-p53 AUROC: 	0.7992 	AUPRC: 	0.2979
Task SR-HSE AUROC: 	0.7704 	AUPRC: 	0.2471
Task SR-MMP AUROC: 	0.8116 	AUPRC: 	0.4676
Task SR-p53 AUROC: 	0.8328 	AUPRC: 	0.3543
Task SR-HSE AUROC: 	0.7412 	AUPRC: 	0.1481
Task SR-MMP AUROC: 	0.8129 	AUPRC: 	0.463
Task SR-p53 AUROC: 	0.8151 	AUPRC: 	0.2696
Task SR-HSE AUROC: 	0.7054 	AUPRC: 	0.1885
Task SR-MMP AUROC: 	0.8292 	AUPRC: 	0.5057
Task SR-p53 AUROC: 	0.8337 	AUPRC: 	0.3651
Task SR-HSE AUROC: 	0.4724 	AUPRC: 	0.0576
Task SR-MMP AUROC: 	0.7875 	AUPRC: 	0.454
Task SR-p53 AUROC: 	0.8281 	AUPRC: 	0.3043
Task SR-HSE AUROC: 	0.7478 	AUPRC: 	0.2177
Task SR-MMP AUROC: 	0.7742 	AUPRC: 	0.3635
Task SR-p53 AUROC: 	0.7239 	AUPRC: 	0.209
Task SR-HSE AUROC: 	0.4397 	AUPRC: 	0.0637
Task SR-MMP AUROC: 	0.7001 	AUPRC: 	0.2711
Task SR-p53 AUROC: 	0.832 	AUPRC: 	0.336
Task SR-HSE AUROC: 	0.7508 	AUPRC: 	0.2259
Task SR-MMP AUROC: 	0.8075 	AUPRC: 	0.479
Task SR-p53 AUROC: 	0.8421 	AUPRC: 	0.3721

-----------------------------------------------------------------
Task                                            Acc         F1      AUROC      AUPRC  (mean±std)
-----------------------------------------------------------------
SR-HSE                                   0.7371±0.1398  0.2249±0.0512  0.7304±0.0876  0.1981±0.0517
SR-MMP                                   0.7655±0.1004  0.4765±0.0737  0.7875±0.0842  0.4479±0.0748
SR-p53                                   0.7948±0.1037  0.3021±0.0589  0.8059±0.0771  0.3081±0.0736

OVERALL AVERAGE                          0.7658              0.3345              0.7746              0.3180
-----------------------------------------------------------------
