
=================================================================
Variant : Fingerprint-only  |  10-shot
Dataset : tox21  |  K_shot=10
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7405 	AUPRC: 	0.2268
Task SR-MMP AUROC: 	0.8059 	AUPRC: 	0.4344
Task SR-p53 AUROC: 	0.7959 	AUPRC: 	0.2455
Task SR-HSE AUROC: 	0.749 	AUPRC: 	0.2122
Task SR-MMP AUROC: 	0.8166 	AUPRC: 	0.4785
Task SR-p53 AUROC: 	0.8186 	AUPRC: 	0.3215
Task SR-HSE AUROC: 	0.7693 	AUPRC: 	0.1944
Task SR-MMP AUROC: 	0.807 	AUPRC: 	0.4769
Task SR-p53 AUROC: 	0.8042 	AUPRC: 	0.319
Task SR-HSE AUROC: 	0.762 	AUPRC: 	0.2234
Task SR-MMP AUROC: 	0.7876 	AUPRC: 	0.4305
Task SR-p53 AUROC: 	0.7872 	AUPRC: 	0.2218
Task SR-HSE AUROC: 	0.7627 	AUPRC: 	0.1953
Task SR-MMP AUROC: 	0.7405 	AUPRC: 	0.3785
Task SR-p53 AUROC: 	0.7592 	AUPRC: 	0.2653
Task SR-HSE AUROC: 	0.5554 	AUPRC: 	0.1022
Task SR-MMP AUROC: 	0.8188 	AUPRC: 	0.4875
Task SR-p53 AUROC: 	0.7905 	AUPRC: 	0.2143
Task SR-HSE AUROC: 	0.7091 	AUPRC: 	0.1435
Task SR-MMP AUROC: 	0.7527 	AUPRC: 	0.3847
Task SR-p53 AUROC: 	0.8296 	AUPRC: 	0.342
Task SR-HSE AUROC: 	0.7427 	AUPRC: 	0.1892
Task SR-MMP AUROC: 	0.796 	AUPRC: 	0.444
Task SR-p53 AUROC: 	0.8073 	AUPRC: 	0.2736
Task SR-HSE AUROC: 	0.7147 	AUPRC: 	0.1842
Task SR-MMP AUROC: 	0.749 	AUPRC: 	0.3631
Task SR-p53 AUROC: 	0.8269 	AUPRC: 	0.3121
Task SR-HSE AUROC: 	0.683 	AUPRC: 	0.1824
Task SR-MMP AUROC: 	0.7872 	AUPRC: 	0.4266
Task SR-p53 AUROC: 	0.8042 	AUPRC: 	0.2043
Task SR-HSE AUROC: 	0.7622 	AUPRC: 	0.2077
Task SR-MMP AUROC: 	0.7721 	AUPRC: 	0.4185
Task SR-p53 AUROC: 	0.8163 	AUPRC: 	0.3244
Task SR-HSE AUROC: 	0.7528 	AUPRC: 	0.1854
Task SR-MMP AUROC: 	0.7909 	AUPRC: 	0.4559
Task SR-p53 AUROC: 	0.829 	AUPRC: 	0.3233
Task SR-HSE AUROC: 	0.6969 	AUPRC: 	0.1866
Task SR-MMP AUROC: 	0.8164 	AUPRC: 	0.4661
Task SR-p53 AUROC: 	0.8151 	AUPRC: 	0.2336
Task SR-HSE AUROC: 	0.7176 	AUPRC: 	0.1317
Task SR-MMP AUROC: 	0.7818 	AUPRC: 	0.4586
Task SR-p53 AUROC: 	0.8046 	AUPRC: 	0.2357
Task SR-HSE AUROC: 	0.7667 	AUPRC: 	0.2073
Task SR-MMP AUROC: 	0.7636 	AUPRC: 	0.4348
Task SR-p53 AUROC: 	0.8173 	AUPRC: 	0.321
Task SR-HSE AUROC: 	0.7711 	AUPRC: 	0.2032
Task SR-MMP AUROC: 	0.7905 	AUPRC: 	0.4472
Task SR-p53 AUROC: 	0.7493 	AUPRC: 	0.2739
Task SR-HSE AUROC: 	0.6669 	AUPRC: 	0.1113
Task SR-MMP AUROC: 	0.8069 	AUPRC: 	0.4688
Task SR-p53 AUROC: 	0.8074 	AUPRC: 	0.2189
Task SR-HSE AUROC: 	0.766 	AUPRC: 	0.2097
Task SR-MMP AUROC: 	0.8035 	AUPRC: 	0.4925
Task SR-p53 AUROC: 	0.8035 	AUPRC: 	0.3191
Task SR-HSE AUROC: 	0.7634 	AUPRC: 	0.2125
Task SR-MMP AUROC: 	0.7905 	AUPRC: 	0.4463
Task SR-p53 AUROC: 	0.8187 	AUPRC: 	0.3166
Task SR-HSE AUROC: 	0.7588 	AUPRC: 	0.1826
Task SR-MMP AUROC: 	0.7982 	AUPRC: 	0.4597
Task SR-p53 AUROC: 	0.8187 	AUPRC: 	0.2657
Task SR-HSE AUROC: 	0.7059 	AUPRC: 	0.1464
Task SR-MMP AUROC: 	0.7762 	AUPRC: 	0.4156
Task SR-p53 AUROC: 	0.832 	AUPRC: 	0.3302
Task SR-HSE AUROC: 	0.7243 	AUPRC: 	0.1715
Task SR-MMP AUROC: 	0.8092 	AUPRC: 	0.468
Task SR-p53 AUROC: 	0.812 	AUPRC: 	0.2743
Task SR-HSE AUROC: 	0.772 	AUPRC: 	0.2252
Task SR-MMP AUROC: 	0.7851 	AUPRC: 	0.4393
Task SR-p53 AUROC: 	0.8362 	AUPRC: 	0.3484
Task SR-HSE AUROC: 	0.7286 	AUPRC: 	0.1674
Task SR-MMP AUROC: 	0.8018 	AUPRC: 	0.4466
Task SR-p53 AUROC: 	0.8216 	AUPRC: 	0.2484
Task SR-HSE AUROC: 	0.7267 	AUPRC: 	0.1467
Task SR-MMP AUROC: 	0.8174 	AUPRC: 	0.486
Task SR-p53 AUROC: 	0.8079 	AUPRC: 	0.2166
Task SR-HSE AUROC: 	0.6139 	AUPRC: 	0.1167
Task SR-MMP AUROC: 	0.7911 	AUPRC: 	0.4352
Task SR-p53 AUROC: 	0.8198 	AUPRC: 	0.3245
Task SR-HSE AUROC: 	0.7164 	AUPRC: 	0.1295
Task SR-MMP AUROC: 	0.8133 	AUPRC: 	0.4739
Task SR-p53 AUROC: 	0.6919 	AUPRC: 	0.1868
Task SR-HSE AUROC: 	0.7596 	AUPRC: 	0.1835
Task SR-MMP AUROC: 	0.799 	AUPRC: 	0.4462
Task SR-p53 AUROC: 	0.8026 	AUPRC: 	0.2843
Task SR-HSE AUROC: 	0.7512 	AUPRC: 	0.1952
Task SR-MMP AUROC: 	0.8143 	AUPRC: 	0.4893
Task SR-p53 AUROC: 	0.8283 	AUPRC: 	0.3199
Task SR-HSE AUROC: 	0.7637 	AUPRC: 	0.1798
Task SR-MMP AUROC: 	0.4961 	AUPRC: 	0.1906
Task SR-p53 AUROC: 	0.8182 	AUPRC: 	0.3373

-----------------------------------------------------------------
Task                                            Acc         F1      AUROC      AUPRC  (mean±std)
-----------------------------------------------------------------
SR-HSE                                   0.7783±0.0727  0.2308±0.0325  0.7381±0.0465  0.1910±0.0381
SR-MMP                                   0.7889±0.0501  0.4819±0.0460  0.7853±0.0452  0.4377±0.0522
SR-p53                                   0.8201±0.0505  0.3019±0.0344  0.8027±0.0354  0.2859±0.0497

OVERALL AVERAGE                          0.7958              0.3382              0.7754              0.3049
-----------------------------------------------------------------
