
=================================================================
Variant : GINEConv + CNN  |  5-shot
Dataset : tox21  |  K_shot=5
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7508 	AUPRC: 	0.2451
Task SR-MMP AUROC: 	0.8135 	AUPRC: 	0.4951
Task SR-p53 AUROC: 	0.8155 	AUPRC: 	0.3469
Task SR-HSE AUROC: 	0.7611 	AUPRC: 	0.2516
Task SR-MMP AUROC: 	0.8067 	AUPRC: 	0.496
Task SR-p53 AUROC: 	0.8042 	AUPRC: 	0.2827
Task SR-HSE AUROC: 	0.7575 	AUPRC: 	0.2124
Task SR-MMP AUROC: 	0.7995 	AUPRC: 	0.4452
Task SR-p53 AUROC: 	0.8191 	AUPRC: 	0.3549
Task SR-HSE AUROC: 	0.764 	AUPRC: 	0.2229
Task SR-MMP AUROC: 	0.8087 	AUPRC: 	0.4795
Task SR-p53 AUROC: 	0.8105 	AUPRC: 	0.3353
Task SR-HSE AUROC: 	0.7714 	AUPRC: 	0.2145
Task SR-MMP AUROC: 	0.8038 	AUPRC: 	0.4511
Task SR-p53 AUROC: 	0.7983 	AUPRC: 	0.2569
Task SR-HSE AUROC: 	0.4138 	AUPRC: 	0.0533
Task SR-MMP AUROC: 	0.8132 	AUPRC: 	0.4944
Task SR-p53 AUROC: 	0.8092 	AUPRC: 	0.3303
Task SR-HSE AUROC: 	0.7608 	AUPRC: 	0.1977
Task SR-MMP AUROC: 	0.7972 	AUPRC: 	0.4322
Task SR-p53 AUROC: 	0.8106 	AUPRC: 	0.331
Task SR-HSE AUROC: 	0.768 	AUPRC: 	0.2034
Task SR-MMP AUROC: 	0.8123 	AUPRC: 	0.5103
Task SR-p53 AUROC: 	0.7988 	AUPRC: 	0.2916
Task SR-HSE AUROC: 	0.7755 	AUPRC: 	0.2481
Task SR-MMP AUROC: 	0.7828 	AUPRC: 	0.4726
Task SR-p53 AUROC: 	0.8145 	AUPRC: 	0.3227
Task SR-HSE AUROC: 	0.7631 	AUPRC: 	0.2054
