
=================================================================
Variant : GINEConv + FP  |  5-shot
Dataset : tox21  |  K_shot=5
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.738 	AUPRC: 	0.2389
Task SR-MMP AUROC: 	0.8171 	AUPRC: 	0.5269
Task SR-p53 AUROC: 	0.7813 	AUPRC: 	0.3408
Task SR-HSE AUROC: 	0.6927 	AUPRC: 	0.165
Task SR-MMP AUROC: 	0.8045 	AUPRC: 	0.515
Task SR-p53 AUROC: 	0.7791 	AUPRC: 	0.279
Task SR-HSE AUROC: 	0.7476 	AUPRC: 	0.253
Task SR-MMP AUROC: 	0.776 	AUPRC: 	0.3758
Task SR-p53 AUROC: 	0.7695 	AUPRC: 	0.2898
Task SR-HSE AUROC: 	0.7504 	AUPRC: 	0.2695
Task SR-MMP AUROC: 	0.8094 	AUPRC: 	0.5256
Task SR-p53 AUROC: 	0.7736 	AUPRC: 	0.313
Task SR-HSE AUROC: 	0.7591 	AUPRC: 	0.2292
Task SR-MMP AUROC: 	0.7973 	AUPRC: 	0.4766
Task SR-p53 AUROC: 	0.8172 	AUPRC: 	0.3435
Task SR-HSE AUROC: 	0.6406 	AUPRC: 	0.1088
Task SR-MMP AUROC: 	0.8193 	AUPRC: 	0.5223
Task SR-p53 AUROC: 	0.7796 	AUPRC: 	0.2689
Task SR-HSE AUROC: 	0.7487 	AUPRC: 	0.2445
Task SR-MMP AUROC: 	0.7798 	AUPRC: 	0.4254
Task SR-p53 AUROC: 	0.7896 	AUPRC: 	0.2307
Task SR-HSE AUROC: 	0.7382 	AUPRC: 	0.1482
Task SR-MMP AUROC: 	0.8107 	AUPRC: 	0.5201
Task SR-p53 AUROC: 	0.7899 	AUPRC: 	0.3124
Task SR-HSE AUROC: 	0.7588 	AUPRC: 	0.2437
Task SR-MMP AUROC: 	0.6485 	AUPRC: 	0.3852
Task SR-p53 AUROC: 	0.8048 	AUPRC: 	0.3032
Task SR-HSE AUROC: 	0.7474 	AUPRC: 	0.269
Task SR-MMP AUROC: 	0.7241 	AUPRC: 	0.4048
Task SR-p53 AUROC: 	0.7928 	AUPRC: 	0.3082
Task SR-HSE AUROC: 	0.7429 	AUPRC: 	0.2161
Task SR-MMP AUROC: 	0.7832 	AUPRC: 	0.46
Task SR-p53 AUROC: 	0.7517 	AUPRC: 	0.2053
Task SR-HSE AUROC: 	0.3866 	AUPRC: 	0.0517
Task SR-MMP AUROC: 	0.7856 	AUPRC: 	0.456
Task SR-p53 AUROC: 	0.8069 	AUPRC: 	0.3496
Task SR-HSE AUROC: 	0.7503 	AUPRC: 	0.2527
Task SR-MMP AUROC: 	0.6398 	AUPRC: 	0.3108
Task SR-p53 AUROC: 	0.8002 	AUPRC: 	0.3031
Task SR-HSE AUROC: 	0.737 	AUPRC: 	0.1554
Task SR-MMP AUROC: 	0.7897 	AUPRC: 	0.4653
Task SR-p53 AUROC: 	0.6774 	AUPRC: 	0.2344
Task SR-HSE AUROC: 	0.7634 	AUPRC: 	0.2515
Task SR-MMP AUROC: 	0.7806 	AUPRC: 	0.4194
Task SR-p53 AUROC: 	0.7981 	AUPRC: 	0.3534
Task SR-HSE AUROC: 	0.7527 	AUPRC: 	0.1845
Task SR-MMP AUROC: 	0.7788 	AUPRC: 	0.4705
Task SR-p53 AUROC: 	0.7892 	AUPRC: 	0.2829
Task SR-HSE AUROC: 	0.6541 	AUPRC: 	0.1186
Task SR-MMP AUROC: 	0.734 	AUPRC: 	0.4149
Task SR-p53 AUROC: 	0.6487 	AUPRC: 	0.1487
Task SR-HSE AUROC: 	0.745 	AUPRC: 	0.1637
Task SR-MMP AUROC: 	0.784 	AUPRC: 	0.4258
Task SR-p53 AUROC: 	0.7685 	AUPRC: 	0.2662
Task SR-HSE AUROC: 	0.6858 	AUPRC: 	0.2273
