
=================================================================
Variant : GINEConv-only  |  5-shot
Dataset : tox21  |  K_shot=5
Tasks   : ['SR-HSE', 'SR-MMP', 'SR-p53']
Total episodes=3000
=================================================================
Task SR-HSE AUROC: 	0.7383 	AUPRC: 	0.1986
Task SR-MMP AUROC: 	0.839 	AUPRC: 	0.4874
Task SR-p53 AUROC: 	0.8186 	AUPRC: 	0.294
Task SR-HSE AUROC: 	0.7694 	AUPRC: 	0.2409
Task SR-MMP AUROC: 	0.8126 	AUPRC: 	0.49
Task SR-p53 AUROC: 	0.8352 	AUPRC: 	0.334
Task SR-HSE AUROC: 	0.7559 	AUPRC: 	0.2362
Task SR-MMP AUROC: 	0.8224 	AUPRC: 	0.4573
Task SR-p53 AUROC: 	0.8123 	AUPRC: 	0.2806
Task SR-HSE AUROC: 	0.7646 	AUPRC: 	0.2565
Task SR-MMP AUROC: 	0.8584 	AUPRC: 	0.5491
Task SR-p53 AUROC: 	0.8348 	AUPRC: 	0.3298
Task SR-HSE AUROC: 	0.7643 	AUPRC: 	0.2235
Task SR-MMP AUROC: 	0.8395 	AUPRC: 	0.4915
Task SR-p53 AUROC: 	0.8224 	AUPRC: 	0.2817
Task SR-HSE AUROC: 	0.2838 	AUPRC: 	0.0373
Task SR-MMP AUROC: 	0.8405 	AUPRC: 	0.5068
Task SR-p53 AUROC: 	0.8323 	AUPRC: 	0.3179
Task SR-HSE AUROC: 	0.7736 	AUPRC: 	0.2396
Task SR-MMP AUROC: 	0.8236 	AUPRC: 	0.4733
Task SR-p53 AUROC: 	0.8273 	AUPRC: 	0.2971
Task SR-HSE AUROC: 	0.4343 	AUPRC: 	0.0507
Task SR-MMP AUROC: 	0.8077 	AUPRC: 	0.4684
Task SR-p53 AUROC: 	0.8129 	AUPRC: 	0.2645
Task SR-HSE AUROC: 	0.7463 	AUPRC: 	0.2067
Task SR-MMP AUROC: 	0.8417 	AUPRC: 	0.497
Task SR-p53 AUROC: 	0.8148 	AUPRC: 	0.2667
Task SR-HSE AUROC: 	0.7622 	AUPRC: 	0.2441
Task SR-MMP AUROC: 	0.8385 	AUPRC: 	0.5241
Task SR-p53 AUROC: 	0.8327 	AUPRC: 	0.3068
Task SR-HSE AUROC: 	0.7573 	AUPRC: 	0.2386
Task SR-MMP AUROC: 	0.8495 	AUPRC: 	0.5256
Task SR-p53 AUROC: 	0.8025 	AUPRC: 	0.234
Task SR-HSE AUROC: 	0.7538 	AUPRC: 	0.2102
Task SR-MMP AUROC: 	0.8465 	AUPRC: 	0.5238
Task SR-p53 AUROC: 	0.83 	AUPRC: 	0.3131
Task SR-HSE AUROC: 	0.7609 	AUPRC: 	0.2386
Task SR-MMP AUROC: 	0.8356 	AUPRC: 	0.5284
Task SR-p53 AUROC: 	0.8064 	AUPRC: 	0.2373
Task SR-HSE AUROC: 	0.7576 	AUPRC: 	0.2048
Task SR-MMP AUROC: 	0.8457 	AUPRC: 	0.5076
Task SR-p53 AUROC: 	0.8401 	AUPRC: 	0.3162
Task SR-HSE AUROC: 	0.7673 	AUPRC: 	0.2495
Task SR-MMP AUROC: 	0.8132 	AUPRC: 	0.4258
Task SR-p53 AUROC: 	0.8286 	AUPRC: 	0.3278
Task SR-HSE AUROC: 	0.6193 	AUPRC: 	0.0937
Task SR-MMP AUROC: 	0.8423 	AUPRC: 	0.5248
Task SR-p53 AUROC: 	0.8369 	AUPRC: 	0.3322
Task SR-HSE AUROC: 	0.7573 	AUPRC: 	0.2336
Task SR-MMP AUROC: 	0.8461 	AUPRC: 	0.5368
Task SR-p53 AUROC: 	0.8186 	AUPRC: 	0.2845
Task SR-HSE AUROC: 	0.7597 	AUPRC: 	0.2469
Task SR-MMP AUROC: 	0.8066 	AUPRC: 	0.39
Task SR-p53 AUROC: 	0.8158 	AUPRC: 	0.3018
Task SR-HSE AUROC: 	0.7631 	AUPRC: 	0.2513
Task SR-MMP AUROC: 	0.8539 	AUPRC: 	0.5381
Task SR-p53 AUROC: 	0.8417 	AUPRC: 	0.3012
Task SR-HSE AUROC: 	0.7591 	AUPRC: 	0.2468
Task SR-MMP AUROC: 	0.8421 	AUPRC: 	0.4825
Task SR-p53 AUROC: 	0.8353 	AUPRC: 	0.3271
Task SR-HSE AUROC: 	0.7352 	AUPRC: 	0.1953
Task SR-MMP AUROC: 	0.8335 	AUPRC: 	0.4627
Task SR-p53 AUROC: 	0.8353 	AUPRC: 	0.331
Task SR-HSE AUROC: 	0.759 	AUPRC: 	0.2096
Task SR-MMP AUROC: 	0.848 	AUPRC: 	0.5156
Task SR-p53 AUROC: 	0.8373 	AUPRC: 	0.3138
Task SR-HSE AUROC: 	0.7663 	AUPRC: 	0.2576
Task SR-MMP AUROC: 	0.5501 	AUPRC: 	0.175
Task SR-p53 AUROC: 	0.8331 	AUPRC: 	0.3229
Task SR-HSE AUROC: 	0.7645 	AUPRC: 	0.2583
Task SR-MMP AUROC: 	0.8364 	AUPRC: 	0.5096
Task SR-p53 AUROC: 	0.8329 	AUPRC: 	0.3247
Task SR-HSE AUROC: 	0.7488 	AUPRC: 	0.2134
Task SR-MMP AUROC: 	0.8337 	AUPRC: 	0.5197
